region,periodo,tasa_victimizacion,tasa_homicidios,percepcion_inseguridad,denuncias,poblacion,fuente
Loreto,2023-S1,25.9,3.9,72.9,238867,9925829,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2023-S1,30.1,4.0,83.5,128612,6518375,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2023-S1,32.8,4.2,94.0,80507,3158101,MUESTRA SINTÉTICA (no es dato real)
Pasco,2023-S1,26.6,5.6,69.6,141262,8017772,MUESTRA SINTÉTICA (no es dato real)
Piura,2023-S1,33.7,5.9,88.6,53905,2048336,MUESTRA SINTÉTICA (no es dato real)
Puno,2023-S1,20.8,3.1,50.9,65436,4735267,MUESTRA SINTÉTICA (no es dato real)
San Martín,2023-S1,19.0,3.4,54.6,152707,8429671,MUESTRA SINTÉTICA (no es dato real)
Tacna,2023-S1,27.8,5.7,77.0,206880,7519292,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2023-S1,18.2,3.6,49.8,70642,5269531,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2023-S1,17.8,2.6,47.0,53888,3813431,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2023-S2,29.6,4.3,81.1,190198,9843651,MUESTRA SINTÉTICA (no es dato real)
Áncash,2023-S2,31.7,4.3,82.2,168699,9513445,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2023-S2,29.8,4.2,79.1,193184,8016584,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2023-S2,37.1,6.1,92.6,85005,3213366,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2023-S2,22.7,3.1,57.1,127557,9409717,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2023-S2,33.9,5.0,92.2,94873,4392517,MUESTRA SINTÉTICA (no es dato real)
Callao,2023-S2,29.1,5.9,75.0,139900,4190054,MUESTRA SINTÉTICA (no es dato real)
Cusco,2023-S2,32.4,5.1,86.7,30105,1761831,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2023-S2,30.9,4.7,77.2,35428,1197558,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2023-S2,22.8,3.7,62.8,64718,2715457,MUESTRA SINTÉTICA (no es dato real)
Ica,2023-S2,20.2,3.0,53.2,164633,6824622,MUESTRA SINTÉTICA (no es dato real)
Junín,2023-S2,32.8,5.2,86.8,46769,2496018,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2023-S2,31.3,3.0,90.2,257826,7499674,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2023-S2,24.3,3.9,63.2,77589,4518678,MUESTRA SINTÉTICA (no es dato real)
Lima,2023-S2,32.2,5.5,78.5,78234,2910433,MUESTRA SINTÉTICA (no es dato real)
Loreto,2023-S2,25.0,4.3,69.1,19306,1231568,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2023-S2,31.8,5.7,88.2,308650,9934514,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2023-S2,29.2,4.5,81.7,247543,9258532,MUESTRA SINTÉTICA (no es dato real)
Pasco,2023-S2,25.9,4.5,70.3,165627,8669068,MUESTRA SINTÉTICA (no es dato real)
Piura,2023-S2,34.6,5.7,85.5,277174,8541641,MUESTRA SINTÉTICA (no es dato real)
Puno,2023-S2,21.8,3.1,56.4,168128,7997950,MUESTRA SINTÉTICA (no es dato real)
San Martín,2023-S2,20.1,3.1,54.7,113857,6939993,MUESTRA SINTÉTICA (no es dato real)
Tacna,2023-S2,27.6,5.8,72.7,174597,7229966,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2023-S2,18.1,4.2,43.9,23930,2069620,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2023-S2,17.7,3.3,45.6,74639,8205494,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2024-S1,26.0,3.9,69.4,80536,4501116,MUESTRA SINTÉTICA (no es dato real)
Áncash,2024-S1,32.5,4.2,92.1,195367,8275589,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2024-S1,29.2,4.8,74.5,213542,6637380,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2024-S1,36.3,8.8,95.0,252266,8454470,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2024-S1,21.7,4.4,55.7,181051,7718038,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2024-S1,31.1,4.8,80.6,172387,4740206,MUESTRA SINTÉTICA (no es dato real)
Callao,2024-S1,29.7,5.6,82.1,139983,6836826,MUESTRA SINTÉTICA (no es dato real)
Cusco,2024-S1,27.2,4.5,76.7,43972,2905633,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2024-S1,28.4,4.0,78.4,4804,255925,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2024-S1,25.0,3.6,67.9,93178,5677708,MUESTRA SINTÉTICA (no es dato real)
Ica,2024-S1,21.9,3.7,58.0,25294,1777979,MUESTRA SINTÉTICA (no es dato real)
Junín,2024-S1,31.6,4.3,82.2,101737,4597429,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2024-S1,32.3,4.8,83.6,171637,6266503,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2024-S1,25.2,3.9,67.0,118282,4691974,MUESTRA SINTÉTICA (no es dato real)
Lima,2024-S1,31.6,7.0,88.7,214511,6756349,MUESTRA SINTÉTICA (no es dato real)
Loreto,2024-S1,26.6,3.8,67.2,42358,2726790,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2024-S1,33.2,5.3,90.5,260482,7531406,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2024-S1,30.0,5.1,84.6,10530,552502,MUESTRA SINTÉTICA (no es dato real)
Pasco,2024-S1,26.9,5.4,66.8,109167,5480944,MUESTRA SINTÉTICA (no es dato real)
Piura,2024-S1,32.7,5.2,89.7,85031,2614142,MUESTRA SINTÉTICA (no es dato real)
Puno,2024-S1,19.5,2.7,47.5,167035,9472273,MUESTRA SINTÉTICA (no es dato real)
San Martín,2024-S1,19.8,2.8,52.5,70180,5274142,MUESTRA SINTÉTICA (no es dato real)
Tacna,2024-S1,27.2,5.7,76.0,64370,4486951,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2024-S1,16.7,2.4,40.2,115210,9774894,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2024-S1,17.2,3.4,41.7,179154,9028662,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2024-S2,26.2,4.0,67.8,46416,1838726,MUESTRA SINTÉTICA (no es dato real)
Áncash,2024-S2,31.0,5.0,85.0,7615,371406,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2024-S2,30.2,6.1,78.3,151346,4602814,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2024-S2,34.8,5.7,88.7,228119,9929269,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2024-S2,21.5,3.3,58.5,39767,1703490,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2024-S2,29.5,4.2,73.3,167335,8840906,MUESTRA SINTÉTICA (no es dato real)
Callao,2024-S2,30.4,4.4,76.8,30686,1109695,MUESTRA SINTÉTICA (no es dato real)
Cusco,2024-S2,33.9,6.4,94.7,136347,4738474,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2024-S2,27.6,3.7,71.9,34695,1776861,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2024-S2,24.8,2.8,69.3,21062,1317571,MUESTRA SINTÉTICA (no es dato real)
Ica,2024-S2,21.5,3.0,54.1,70577,3859153,MUESTRA SINTÉTICA (no es dato real)
Junín,2024-S2,32.6,5.9,92.2,117486,4413925,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2024-S2,33.4,3.9,95.0,18749,872865,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2024-S2,24.7,4.8,62.8,182558,9382155,MUESTRA SINTÉTICA (no es dato real)
Lima,2024-S2,33.6,6.7,95.0,31558,1209435,MUESTRA SINTÉTICA (no es dato real)
Loreto,2024-S2,26.3,3.8,74.9,144766,8310412,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2024-S2,34.7,6.1,84.3,168600,9613235,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2024-S2,31.2,4.6,75.0,87739,5090964,MUESTRA SINTÉTICA (no es dato real)
Pasco,2024-S2,26.4,5.0,68.2,235900,8447327,MUESTRA SINTÉTICA (no es dato real)
Piura,2024-S2,34.8,5.0,95.0,163097,6274939,MUESTRA SINTÉTICA (no es dato real)
Puno,2024-S2,19.7,3.2,50.8,22852,1045660,MUESTRA SINTÉTICA (no es dato real)
San Martín,2024-S2,18.8,2.3,50.6,69376,3220297,MUESTRA SINTÉTICA (no es dato real)
Tacna,2024-S2,28.7,4.2,69.5,121787,3556667,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2024-S2,18.4,2.8,53.2,3461,265798,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2024-S2,18.1,3.8,51.9,91153,8378662,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2025-S1,29.3,4.5,80.6,72365,3207035,MUESTRA SINTÉTICA (no es dato real)
Áncash,2025-S1,30.3,4.8,75.4,307775,9063149,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2025-S1,31.7,5.9,83.9,69743,2951670,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2025-S1,36.0,6.9,95.0,241319,9462004,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2025-S1,20.8,2.3,57.5,183106,8105539,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2025-S1,29.4,3.9,85.0,74575,2927862,MUESTRA SINTÉTICA (no es dato real)
Callao,2025-S1,27.8,5.2,72.8,210591,7252867,MUESTRA SINTÉTICA (no es dato real)
Cusco,2025-S1,31.5,4.0,79.6,104599,3063562,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2025-S1,30.7,6.2,78.7,157465,4735856,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2025-S1,26.2,3.9,73.1,141564,4792980,MUESTRA SINTÉTICA (no es dato real)
Ica,2025-S1,22.1,4.9,59.0,119020,6139190,MUESTRA SINTÉTICA (no es dato real)
Junín,2025-S1,29.9,5.8,86.3,19704,567249,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2025-S1,33.1,5.5,92.9,146778,4443057,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2025-S1,23.9,3.7,57.9,194519,8260213,MUESTRA SINTÉTICA (no es dato real)
Lima,2025-S1,32.7,5.3,91.4,214608,8756552,MUESTRA SINTÉTICA (no es dato real)
Loreto,2025-S1,26.7,3.8,64.2,48302,2469262,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2025-S1,36.3,5.8,95.0,146602,5768500,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2025-S1,32.0,5.3,84.3,153934,6045915,MUESTRA SINTÉTICA (no es dato real)
Pasco,2025-S1,28.1,5.0,71.2,145736,5286807,MUESTRA SINTÉTICA (no es dato real)
Piura,2025-S1,32.7,6.9,86.8,88033,2604304,MUESTRA SINTÉTICA (no es dato real)
Puno,2025-S1,21.5,3.5,61.6,20065,1071324,MUESTRA SINTÉTICA (no es dato real)
San Martín,2025-S1,18.4,2.7,49.9,86429,6102656,MUESTRA SINTÉTICA (no es dato real)
Tacna,2025-S1,28.5,4.0,81.4,240664,8305591,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2025-S1,17.0,3.1,47.4,82875,4743443,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2025-S1,17.3,1.9,48.6,6620,544766,MUESTRA SINTÉTICA (no es dato real)
Amazonas,2025-S2,25.7,5.2,65.2,142679,8266129,MUESTRA SINTÉTICA (no es dato real)
Áncash,2025-S2,31.3,5.9,85.5,308531,8824685,MUESTRA SINTÉTICA (no es dato real)
Apurímac,2025-S2,30.1,5.9,81.8,125165,3984206,MUESTRA SINTÉTICA (no es dato real)
Arequipa,2025-S2,35.9,5.2,95.0,32134,1450683,MUESTRA SINTÉTICA (no es dato real)
Ayacucho,2025-S2,21.9,3.3,59.0,66926,5071296,MUESTRA SINTÉTICA (no es dato real)
Cajamarca,2025-S2,31.7,7.0,78.4,92270,2745762,MUESTRA SINTÉTICA (no es dato real)
Callao,2025-S2,32.0,6.5,84.8,98698,3800475,MUESTRA SINTÉTICA (no es dato real)
Cusco,2025-S2,32.9,4.7,82.7,45030,1787106,MUESTRA SINTÉTICA (no es dato real)
Huancavelica,2025-S2,31.9,6.3,87.6,248286,6583783,MUESTRA SINTÉTICA (no es dato real)
Huánuco,2025-S2,25.1,4.1,71.4,120956,4555577,MUESTRA SINTÉTICA (no es dato real)
Ica,2025-S2,21.3,3.8,61.5,110348,6068236,MUESTRA SINTÉTICA (no es dato real)
Junín,2025-S2,31.3,5.6,88.0,7955,381748,MUESTRA SINTÉTICA (no es dato real)
La Libertad,2025-S2,34.0,5.8,95.0,10480,434171,MUESTRA SINTÉTICA (no es dato real)
Lambayeque,2025-S2,22.6,4.1,63.0,58496,3956205,MUESTRA SINTÉTICA (no es dato real)
Lima,2025-S2,33.9,4.7,82.4,70663,2469481,MUESTRA SINTÉTICA (no es dato real)
Loreto,2025-S2,25.4,3.5,68.1,132719,5307946,MUESTRA SINTÉTICA (no es dato real)
Madre de Dios,2025-S2,33.9,4.6,82.9,77043,2169035,MUESTRA SINTÉTICA (no es dato real)
Moquegua,2025-S2,30.3,5.5,73.4,209934,9028033,MUESTRA SINTÉTICA (no es dato real)
Pasco,2025-S2,26.4,5.5,70.5,203260,8217156,MUESTRA SINTÉTICA (no es dato real)
Piura,2025-S2,34.9,6.2,94.4,71349,3693694,MUESTRA SINTÉTICA (no es dato real)
Puno,2025-S2,20.5,2.8,51.9,92540,7700164,MUESTRA SINTÉTICA (no es dato real)
San Martín,2025-S2,19.8,2.3,50.5,66476,5195940,MUESTRA SINTÉTICA (no es dato real)
Tacna,2025-S2,26.2,4.1,73.1,16544,582223,MUESTRA SINTÉTICA (no es dato real)
Tumbes,2025-S2,18.4,2.8,47.5,28809,2492570,MUESTRA SINTÉTICA (no es dato real)
Ucayali,2025-S2,18.1,2.3,43.6,138632,7902590,MUESTRA SINTÉTICA (no es dato real)
